blktrace	performance-tools
blkzone	os-core
blockdev	os-core
bluedevil-sendfile	desktop-kde
bluedevil-wizard	desktop-kde
bluemoon	hardware-bluetooth
bluetooth	TLP
bluetooth-sendto	desktop
bluetoothctl	hardware-bluetooth
bmaptool	mkosi
bmc-config	sysadmin-hostmgmt
bmc-device	sysadmin-hostmgmt
bmc-info	sysadmin-hostmgmt
bmc-watchdog	sysadmin-hostmgmt
bmon	network-basic
bno_plot.py	performance-tools
boinc	boinc-client
boinc_client	boinc-client
boinccmd	boinc-client
boincmgr	boinc-client
boincscr	boinc-client
bokeh	python-data-science
boltctl	desktop
bombardment	performance-tools
bomber	desktop-kde-games
bootctl	systemd
bootgraph	performance-tools
borg	borgbackup
borgfs	borgbackup
botan	devpkg-Botan
bovo	desktop-kde-games
bowtie2sam.pl	samtools
bpftrace	bpftrace
bpftrace-aotrt	bpftrace
brcm_iscsiuio	storage-utils
brctl	network-basic
breeze-settings5	desktop-kde
bridge	iproute2
brotli	devpkg-brotli
bscalc	blivet-gui
bsdcat	libarchive
bsdcpio	libarchive
bsdiff	mixer
bsdtar	libarchive
bsdump	mixer
bspatch	mixer
bspc	bspwm
bspwm	bspwm
bt.A.x	npb
bt.B.x	npb
bt.C.x	npb
bt.D.x	npb
bt.E.x	npb
bt.S.x	npb
bt.W.x	npb
btattach	hardware-bluetooth
btfdiff	dev-utils
btmon	hardware-bluetooth
btop	btop
btrace	performance-tools
btrecord	performance-tools
btreplay	performance-tools
btrfs	btrfs-progs
btrfs-convert	btrfs-progs
btrfs-extent-same	duperemove
btrfs-find-root	btrfs-progs
btrfs-image	btrfs-progs
btrfs-map-logical	btrfs-progs
btrfs-select-super	btrfs-progs
btrfsck	btrfs-progs
btrfstune	btrfs-progs
btt	performance-tools
bugpoint	llvm
bugpoint-17	llvm
build-progress.sh	desktop-kde-apps
bundle	ruby-basic
bundledoc	texlive
bundler	ruby-basic
bunzip2	sysadmin-basic
busctl	systemd
bwrap	lutris
byobu	byobu
byobu-config	byobu
byobu-ctrl-a	byobu
byobu-disable	byobu
byobu-disable-prompt	byobu
byobu-enable	byobu
byobu-enable-prompt	byobu
byobu-export	byobu
byobu-janitor	byobu
byobu-keybindings	byobu
byobu-launch	byobu
byobu-launcher	byobu
byobu-launcher-install	byobu
byobu-launcher-uninstall	byobu
byobu-layout	byobu
byobu-prompt	byobu
byobu-quiet	byobu
byobu-reconnect-sockets	byobu
byobu-screen	byobu
byobu-select-backend	byobu
byobu-select-profile	byobu
byobu-select-session	byobu
byobu-shell	byobu
byobu-silent	byobu
byobu-status	byobu
byobu-status-detail	byobu
byobu-tmux	byobu
byobu-ugraph	byobu
byobu-ulevel	byobu
bzcat	sysadmin-basic
bzcmp	sysadmin-basic
bzdiff	sysadmin-basic
bzegrep	sysadmin-basic
bzfgrep	sysadmin-basic
bzgrep	sysadmin-basic
bzip2	sysadmin-basic
bzip2recover	sysadmin-basic
bzless	sysadmin-basic
bzmore	sysadmin-basic
c++	c-basic
c++-10	c-extras-gcc10
c++-11	c-extras-gcc11
c++-9	c-extras-gcc9
c++-copy-class-and-file	desktop-kde-apps
c++-rename-class-and-file	desktop-kde-apps
c++filt	binutils
c-index-test	llvm
c-index-test-17	llvm
cabextract	cabextract
cacertdir_rehash	enterprise-login
cache_check	storage-utils
cache_dump	storage-utils
cache_metadata_size	storage-utils
cache_repair	storage-utils
cache_restore	storage-utils
cache_writeback	storage-utils
cachepic	texlive
cairo-trace	firefox
cal	os-core
calc	calc
calendarjanitor	akonadi
calidns	pdns
callgrind_annotate	valgrind
callgrind_control	valgrind
callpass	amateur-radio
can-calc-bit-timing	automotive-tools
canberra-gtk-play	devpkg-libcanberra
canbusload	automotive-tools
canbusutil	qt-basic
cancel	hardware-printing
candump	automotive-tools
canfdtest	automotive-tools
cangen	automotive-tools
cangw	automotive-tools
canlogserver	automotive-tools
canplayer	automotive-tools
cansend	automotive-tools
cansequence	automotive-tools
cansniffer	automotive-tools
cantata	desktop-kde-apps
cantor	education-tertiary
cantor_pythonserver	education-tertiary
cantor_scripteditor	education-tertiary
capinfos	wireshark
capnp	rr
capnpc	rr
capnpc-c++	rr
capnpc-capnp	rr
capsh	systemd
capslock	containers-basic-dev
captest	devpkg-libcap-ng
captoinfo	sysadmin-basic
captype	wireshark
cardos-tool	smartcard
cargo	rust-basic
cargo-clippy	rust-basic
cargo-clippy.old	rust-basic
cargo-fmt	rust-basic
cargo-fmt.old	rust-basic
caspol	mono
casync	casync
cat	os-core
catman	man-pages
cc	c-basic
ccache	ccache
ccache-swig	machine-learning-basic
cccheck	mono
ccconfig	perl-extras
ccmake	c-basic
ccomps	graphviz
ccrewrite	mono
cct	devpkg-proj
cd-convert	devpkg-colord-gtk
cd-create-profile	desktop
cd-drive	asunder
cd-fix-profile	desktop
cd-iccdump	desktop
cd-info	asunder
cd-it8	desktop
cd-read	asunder
cdda-player	asunder
cddb_query	asunder
cdparanoia	asunder
cdrskin	devpkg-libburn
cec-compliance	v4l-utils
cec-ctl	v4l-utils
cec-follower	v4l-utils
cef5conv	texlive
cef5latex	texlive
cef5pdflatex	texlive
cefconv	texlive
ceflatex	texlive
cefpdflatex	texlive
cefsconv	texlive
cefslatex	texlive
cefspdflatex	texlive
cert-sync	mono
cert-to-efi-hash-list	os-clr-on-clr
cert-to-efi-sig-list	os-clr-on-clr
cert2spc	mono
certbot	letsencrypt-client
certmgr	mono
certtool	cryptography
certutil	cryptography
cfdisk	os-core
cfftot1	texlive
cg.A.x	npb
cg.B.x	npb
cg.C.x	npb
cg.D.x	npb
cg.E.x	npb
cg.S.x	npb
cg.W.x	npb
cg_annotate	valgrind
cg_diff	valgrind
cg_merge	valgrind
cgclassify	devpkg-libcgroup
cgclear	devpkg-libcgroup
cgconfigparser	devpkg-libcgroup
cgcreate	devpkg-libcgroup
cgdb	dev-utils
cgdelete	devpkg-libcgroup
cgdisk	bootloader
cgexec	devpkg-libcgroup
cgget	devpkg-libcgroup
cgps	gpsd
cgrulesengd	devpkg-libcgroup
cgset	devpkg-libcgroup
cgsnapshot	devpkg-libcgroup
chacl	acl
chage	os-core
chat	NetworkManager
chattr	os-core
chcon	os-core
chcpu	os-core
cheatmake	desktop-kde-apps
check-model	pypi-onnx
check-node	pypi-onnx
check-regexp	dev-utils
checkXML5	desktop-kde
check_lft_balance.pl	hpc-utils
checkbandwidth	performance-tools
checkcites	texlive
checkgid	httpd
checkisomd5	clr-installer-iso-init
checklistings	texlive
checkmk	c-basic
checksctp	devpkg-libsctp
cheese	cheese
chfn	os-core
chgpasswd	os-core
chgrp	os-core
chirp	amateur-radio
chirpc	amateur-radio
chkdvifont	texlive
chklref	texlive
chkstow	sysadmin-basic
chktex	texlive
chktrust	mono
chkweb	texlive
chmem	os-core
chmod	os-core
chmorph	devpkg-hunspell
choom	os-core
chown	os-core
chpasswd	os-core
chronic	moreutils
chronyc	time-server-basic
chronyd	time-server-basic
chroot	os-core
chrpath	c-basic
chrt	os-core
chsh	os-core
chsh.ldap	enterprise-login
chvt	kbd
cifs.upcall	storage-utils
cifscreds	storage-utils
cifsdd	samba
cifsiostat	sysstat
ciptool	hardware-bluetooth
circo	graphviz
cisco-decrypt	NetworkManager-extras
cjk-gs-integrate	texlive
cjpeg	devpkg-libjpeg-turbo
cksum	os-core
clamav-config	clamav
clambc	clamav
clamconf	clamav
clamd	clamav
clamdscan	clamav
clamdtop	clamav
clamonacc	clamav
clamscan	clamav
clamsubmit	clamav
clang	llvm
clang++	llvm
clang++-17	llvm
clang-17	llvm
clang-apply-replacements	llvm
clang-apply-replacements-17	llvm
clang-change-namespace	llvm
clang-change-namespace-17	llvm
clang-check	llvm
clang-check-17	llvm
clang-cl	llvm
clang-cl-17	llvm
clang-cpp	llvm
clang-cpp-17	llvm
clang-doc	llvm
clang-doc-17	llvm
clang-extdef-mapping	llvm
clang-extdef-mapping-17	llvm
clang-format	llvm
clang-format-17	llvm
clang-include-cleaner	llvm
clang-include-cleaner-17	llvm
clang-include-fixer	llvm
clang-include-fixer-17	llvm
clang-linker-wrapper	llvm
clang-linker-wrapper-17	llvm
clang-move	llvm
clang-move-17	llvm
clang-offload-bundler	llvm
clang-offload-bundler-17	llvm
clang-offload-packager	llvm
clang-offload-packager-17	llvm
clang-pseudo	llvm
clang-pseudo-17	llvm
clang-query	llvm
clang-query-17	llvm
clang-refactor	llvm
clang-refactor-17	llvm
clang-rename	llvm
clang-rename-17	llvm
clang-reorder-fields	llvm
clang-reorder-fields-17	llvm
clang-repl	llvm
clang-repl-17	llvm
clang-scan-deps	llvm
clang-scan-deps-17	llvm
clang-tblgen	llvm
clang-tblgen-17	llvm
clang-tidy	llvm
clang-tidy-17	llvm
clangd	llvm
clangd-17	llvm
clean-forward-declaration.sh	desktop-kde-apps
clean-includes.sh	desktop-kde-apps
cleanup_digikamdb	digikam
clear	sysadmin-basic
clinfo	x11-tools
clipaccumulate	perl-extras
clipbrowse	perl-extras
clipedit	perl-extras
clipfilter	perl-extras
clipjoin	perl-extras
clippy-driver	rust-basic
clippy-driver.old	rust-basic
cllayerinfo	devpkg-ocl-icd
cllualatex	texlive
cloc	cloc
clockdiff	network-basic
clr-avx2-move.pl	package-utils
clr-boot-manager	bootloader
clr-boot-manager-motd.sh	bootloader
clr-check-perl-modules	perl-basic
clr-check-perl-modules-motd	perl-basic
clr-desktop-files.sh	xfce4-desktop
clr-fwupd-update	firmware-update
clr-installer	clr-installer
clr-installer-gui	clr-installer-gui
clr-network-troubleshooter	clr-network-troubleshooter
clr-python-avx2	package-utils
clr-python-avx512	package-utils
clr-python-timestamp	package-utils
clr-pyversion-strip	python3-basic
clr-service-restart	sysadmin-basic
clr-service-restart-motd.sh	sysadmin-basic
clr_debug_daemon	gdb
clr_debug_fuse	gdb
clr_power	os-core-plus
clrtrust	os-core
cluster	graphviz
clusterdb	postgresql
cluttex	texlive
clxelatex	texlive
cm108	amateur-radio
cmake	c-basic
cmark	dev-utils-dev
cmp	diffutils
cmsutil	cryptography
cmtime	hpc-utils
cmus	cmus
cmus-remote	cmus
cockpit-bridge	cockpit
code_cov_capture	igt-gpu-tools
code_cov_gather_on_build	igt-gpu-tools
code_cov_gather_on_test	igt-gpu-tools
code_cov_gen_report	igt-gpu-tools
code_cov_parse_info	igt-gpu-tools
codiff	dev-utils
coffdump	binutils
col	os-core
col1	byobu
colcrt	os-core
collectd	collectd
collectd-nagios	collectd
collectd-tg	collectd
collectdctl	collectd
collectdmon	collectd
collectl	sysadmin-basic
colmux	sysadmin-basic
color-chrs.pl	samtools
colormgr	desktop
colorsvn	desktop-kde-apps
colrm	os-core
columbiad	columbiad
column	os-core
columns	c-basic
combine	moreutils
combinediff	dev-utils
comm	os-core
compare	ImageMagick
compile-et.pl	devpkg-nspr
compile_et	os-cloudguest-equinix
composite	ImageMagick
conf.py	storage-cluster
config_data	perl-extras
configure-printer	desktop-kde
conjure	ImageMagick
conky	conky
connect-proxy	network-basic
conntrack	network-basic
conntrackd	network-basic
containerd	cloud-control
containerd-shim	cloud-control
containerd-shim-runc-v1	cloud-control
containerd-shim-runc-v2	cloud-control
containerd-stress	cloud-control
context	texlive
contextjit	texlive
convbkmk	texlive
convert	ImageMagick
convert-caffe2-to-onnx	pytorch
convert-dtsv0	dtc
convert-onnx-to-caffe2	pytorch
convertfilestopdf	devpkg-leptonica
convertfilestops	devpkg-leptonica
convertformat	devpkg-leptonica
convertgls2bib	texlive
convertsegfilestopdf	devpkg-leptonica
convertsegfilestops	devpkg-leptonica
converttopdf	devpkg-leptonica
converttops	devpkg-leptonica
copydatabase	devpkg-xapian-core
copylink	perl-extras
copyq	CopyQ
coredumpctl	systemd
corelist	perl-basic
corepack	nodejs-basic
coreutils	os-core
corosync	devpkg-corosync
corosync-blackbox	devpkg-corosync
corosync-cfgtool	devpkg-corosync
corosync-cmapctl	devpkg-corosync
corosync-cpgtool	devpkg-corosync
corosync-keygen	devpkg-corosync
corosync-notifyd	devpkg-corosync
corosync-quorumtool	devpkg-corosync
cover	perl-extras
coverage	python-extras
coverage-3.12	python-extras
coverage3	python-extras
cp	os-core
cpack	c-basic
cpan	perl-basic
cpancover	perl-extras
cpanel_json_xs	perl-extras
cpanfile-dump	perl-extras
cpanm	perl-extras
cpio	cpio
cpio-filter	perl-extras
cpp	c-basic
cpp-10	c-extras-gcc10
cpp-11	c-extras-gcc11
cpp-8	c-extras-gcc8
cpp-9	c-extras-gcc9
cpp2html	dev-utils
cpp7	c-extras-gcc7
cppcheck	dev-utils
cpuid	sysadmin-basic
cpuinfo2cpuid	sysadmin-basic
cpuloadgen	performance-tools
cracklib-check	clr-installer
cracklib-format	clr-installer
cracklib-packer	clr-installer
cracklib-unpacker	clr-installer
crashprobe	devpkg-telemetrics-client
create-cracklib-dict	clr-installer
create_cvsignore	desktop-kde-apps
create_dmesg_entries_for_each_test.awk	ltp
create_kernel_faults_in_loops_and_probability.awk	ltp
create_makefile	desktop-kde-apps
create_makefiles	desktop-kde-apps
create_svnignore	desktop-kde-apps
create_valgrind_check.awk	ltp
createdb	postgresql
createmodule.py	modules
createrepo_c	mixer
createuser	postgresql
crictl	containers-basic
crio	containers-basic
crio-status	containers-basic
critest	containers-basic
crlupdate	mono
crlutil	cryptography
croco-0.6-config	devpkg-libcroco
crond	cronie
cronnext	cronie
crontab	cronie
cryptdir	tcl-basic
cryptoflex-tool	smartcard
cryptsetup	boot-encrypted
cs2cs	devpkg-proj
csc	mono
csc-dim	mono
cscope	dev-utils
csharp	mono
csi	mono
cslatex	texlive
cspctl	alsa-tools
csplain	texlive
csplit	os-core
csslint-0.6	devpkg-libcroco
cstool	capstone
ct_run	rabbitmq-server
ctags	editors
ctail	byobu
ctan-o-mat	texlive
ctanbib	texlive
ctangle	texlive
ctanify	texlive
ctanupload	texlive
ctdb	samba
ctdb_diagnostics	samba
ctdbd	samba
ctest	c-basic
ctie	texlive
ctr	cloud-control
ctracer	dev-utils
ctrlaltdel	os-core
ctstat	iproute2
ctwill	texlive
ctwill-refsort	texlive
ctwill-twinx	texlive
cups-browsed	hardware-printing
cups-calibrate	hardware-printing
cups-config	hardware-printing
cups-genppd.5.3	hardware-printing
